,16_001,16_002,16_003,16_004,16_005,16_006,16_007,16_008,16_009,16_010,16_011,16_012,17_001,17_002,17_003,17_004,17_005,17_006,17_007,17_008,17_009,17_010,17_011,17_012,17_013,17_014,17_015,17_016,17_017,17_018,17_019,17_020,17_021,17_022,17_023,17_024,17_025,17_026,17_027,17_028,17_029,17_031,17_032,17_033,17_034,17_035,17_036,17_037,17_038,17_039,17_040,17_041,18_001,18_002,18_003,18_004,18_005,18_006,18_007,18_008,18_009,18_010,18_011,18_012,18_013,18_014,18_015,18_016,18_017,18_018,18_019,18_020,18_021,18_022,18_023,18_024,18_025,18_026,18_027,18_028,18_029,18_030,18_031,18_032,18_033,19_001,19_002,19_003,19_004,19_005,19_006,19_007,19_008,19_009,19_010,19_011,19_012,19_013,19_014,19_015,19_016,19_017,19_018,19_019,19_020,19_021,19_022,19_023,19_024,19_025,19_026,19_027,19_028,19_029,19_030,19_031,19_032,19_033,19_034,19_035,19_036,19_037,19_038,19_039,19_040,19_041,19_042,19_043,19_044,19_045,19_046,19_047,19_048,19_049,19_050,19_051,19_052,19_053,19_054,20_001,20_002,20_003,20_004,20_005,20_006,20_007,20_008,20_009,20_010,20_011,20_012,20_013,20_014,20_015,20_016,20_017,20_018,20_019,20_020,20_021,20_022,20_023,20_024,20_025,20_026,20_027,20_028,20_029,20_030,20_031,20_032,20_033,20_034,20_035,20_036,20_037,20_038,20_039,20_040,20_041,20_042,20_043,20_044,20_045,20_046,20_047,20_048,20_049,20_050,20_051,20_052,20_053,20_054,20_055,20_056,21_001,21_002,21_003,21_004,21_005,21_006,21_007,21_008,21_009,21_010,21_011,21_012,21_013,21_014,21_015,21_016,22_001,22_002,22_003,22_004,22_005,22_006,22_007,22_008,22_009,22_010,22_011,22_012,22_013,22_014,22_015,22_016,22_017,22_018,22_019,22_020,22_021,22_022,22_023,22_024,23_001,23_002,23_003,23_004,23_005,23_006,23_007,23_008,23_009,23_010,23_011,23_012,23_013,23_014,23_015,23_016,23_017,23_018,23_019,23_020,23_021,23_022,23_023,23_024,23_025,23_026,23_027,23_028,23_029,23_030,23_031,23_032,23_033,23_034,24_001,24_002,24_003,24_004,24_005,24_006,24_007,24_008,24_009,24_010,24_011,24_012,24_013,24_014,24_015,24_016,24_017,24_018,24_019,24_020,24_021,24_022,24_023,24_024,24_025,24_026,24_027,25_001,25_002,25_003,25_004,25_005,25_006,25_007,25_008,25_009,25_010,25_011,25_012,25_013,25_014,25_015,25_016,25_017,25_018,25_019,25_020,25_021,25_022,25_023,25_024
2016,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,1,,,,,1,,,,,,1,,,1,,,,1,1,,,,1,1,1,,1,,,,1,,,1,,,,1,,,,,,,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,1,1,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,,,1,,,,,,1,,,,1,,,,,1,,,,1,,,,1,1,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
